Promoter,Threshold,Activation,Runs,S5PInt,S2PInt,Contact,DistActivation,5percentRG,5percentRP
3,60,25,41-50,12.653049999999999,4.891891891891891,4.675,124.48400891189014,339.9712811672822,326.9340727248516
3,60,25,51-60,33.0476,10.58918918918919,14.245000000000001,116.57628147905075,361.47317623331713,339.7162980824836
3,60,25,61-70,26.63425,8.221621621621622,11.690000000000001,111.29012087450046,300.7666069178508,284.16801492846054
3,60,25,71-80,13.109500000000002,4.864864864864865,4.6899999999999995,118.38058720026316,376.8208745204005,368.6568975261674
3,60,25,81-90,18.4948,5.940540540540541,7.234999999999999,138.3032312764635,314.04040414222436,302.5841315271791
3,60,25,91-100,10.41405,2.848648648648649,3.1950000000000003,109.80235610201147,388.9537230299547,365.4352764808422
3,70,25,1-10,16.708599999999997,6.5675675675675675,6.654999999999999,118.96150920575174,306.4224591947801,288.8420718992354
3,70,25,11-20,29.579349999999998,13.18918918918919,13.415000000000001,132.84448371451947,225.77831917638258,209.58161355269348
3,70,25,21-30,12.590549999999999,4.324324324324325,4.13,158.43066071678578,350.3052557818079,345.88976121941454
3,70,25,31-40,12.4438,4.864864864864865,4.6,116.81083656923188,334.70323391304214,326.933332655691
3,70,25,41-50,15.73385,4.864864864864865,6.2299999999999995,128.75747276894924,399.12056238064326,379.473502936156
3,70,25,51-60,18.89985,4.162162162162162,6.610000000000001,107.47618080491075,430.1079248539403,420.23370897159464
3,70,25,61-70,21.7522,7.751351351351351,8.88,116.2277414159192,265.1033872068998,236.49058640234858
3,70,25,71-80,24.167049999999996,7.891891891891893,9.974999999999998,114.10122385928592,322.0981886160085,316.7856336177911
3,70,25,81-90,22.01185,5.675675675675675,8.180000000000001,117.29165593722875,369.90558840391907,352.9840394814322
3,70,25,91-100,26.625350000000005,8.64864864864865,11.545,111.81829220071874,287.70735037508535,270.5935291084602
3,75,25,1-10,24.21195,7.962162162162163,10.41,126.04149857350926,272.5591189244622,262.9891016287364
3,75,25,11-20,16.04975,5.5675675675675675,6.27,113.76409851750323,340.1215655720822,331.27840783778254
3,75,25,21-30,20.67115,7.5675675675675675,8.4,112.22025996698385,353.4159057867369,349.99641945500423
3,75,25,31-40,16.3672,6.486486486486487,6.85,112.27959083305021,380.4641713257095,373.33431023952375
3,75,25,41-50,41.573100000000004,14.864864864864865,19.055,115.44438801771653,268.6201100700512,247.24820968038253
3,75,25,51-60,15.603400000000002,5.221621621621622,6.3149999999999995,115.73125921086978,353.4568192600053,345.8075645792786
3,75,25,61-70,9.332849999999999,2.4972972972972975,2.8449999999999998,115.93334958709629,375.830128750429,374.0698870912109
3,75,25,71-80,11.7251,4.005405405405406,4.279999999999999,128.21362915293184,389.526774497561,388.22262193256364
3,75,25,81-90,18.3221,6.216216216216216,7.834999999999999,116.83500135935489,368.72125051802243,343.91966527564927
3,75,25,91-100,20.351850000000002,7.275675675675676,8.465,119.24911126077828,370.3417328487614,354.5535534061636
3,80,25,1-10,11.145100000000001,3.0054054054054054,3.9,111.61266356128955,435.3919168973043,427.9234592687664
3,80,25,11-20,22.344550000000005,4.864864864864865,8.23,113.25679031029442,388.474993955899,372.9793983145704
3,80,25,21-30,12.685949999999998,4.962162162162162,5.035,116.5927928178331,376.76951339387745,352.89790585078515
3,80,25,31-40,14.2591,3.702702702702703,5.005,111.60767847197906,366.64458714971437,353.84400846911274
3,80,25,41-50,11.957450000000001,2.972972972972973,3.8,111.55733318395183,444.7925514787197,453.46252699536035
3,80,25,51-60,20.8633,5.545945945945946,7.945,113.9430578893128,340.5066822652649,322.16028325726126
3,80,25,61-70,11.643049999999999,3.4648648648648654,4.095000000000001,115.18798481324438,351.8477665375433,338.18771544117305
3,80,25,71-80,12.302350000000002,4.324324324324325,4.680000000000001,119.31697280922924,368.0703161230877,367.28944139277166
3,80,25,81-90,5.4849499999999995,0.9513513513513514,0.95,148.58963831038128,441.1417595163422,442.14435585319325
3,80,25,91-100,19.376250000000002,7.627027027027028,8.235,119.9501980114729,379.33065417375246,349.57210753275444
3,90,25,1-10,19.60315,7.302702702702703,8.41,120.81913008530775,369.54752216181953,358.1093835868486
3,90,25,11-20,12.3271,5.854054054054054,4.8549999999999995,122.91732867890579,389.02945777944535,364.6080775434846
3,90,25,21-30,25.1562,8.108108108108109,10.530000000000001,135.8994431866974,329.2473199253523,329.7993782153534
