Promoter,Threshold,Activation,S5PInt,S2PInt,Contact,DistActivation
1,50,5,1.963,0,0,0
1,50,5,5.113,1.08108,3.59,112.396
1,50,5,4.3174,0.540541,2.24,123.748
1,50,5,2.0229,0,0,0
1,50,5,5.708,1.62162,2.86,114.699
1,50,5,2.8534,0.540541,1.46,106.345
1,50,5,14.8465,2.16216,12.96,119.536
1,50,5,15.3876,3.24324,12.71,168.554
1,50,5,14.8949,2.7027,10.84,108.403
1,50,5,11.6693,1.08108,9.46,148.29
1,50,5,32.7033,5.9027,30.13,124.05
1,50,5,27.69,7.22162,22.15,132.535
1,50,5,11.3657,4.32432,9.37,154.036
1,50,5,9.0587,1.08108,7.06,123.241
1,50,5,31.3878,5.40541,25.61,148.205
1,50,5,12.8042,1.80541,9.32,117.086
1,60,5,21.2077,3.56757,17.36,117.28
1,60,5,12.6548,0.540541,9.23,115.995
1,60,5,9.7367,2.16216,6.48,120.85
1,60,5,21.1871,5.40541,17.83,119.257
1,60,5,4.98,0,2.3,0
1,60,5,17.1076,3.24324,14.12,121.46
1,60,5,13.6182,3.24324,10.12,134.614
1,60,5,7.1478,1.08108,4.84,118.47
1,60,5,23.3221,3.15676,19.64,118.526
1,60,5,15.9388,3.24324,12.02,117.883
1,60,5,15.5445,2.7027,11.7,124.61
1,60,5,26.1559,4.42162,21.73,129.715
1,60,5,17.4643,2.16216,13.72,128.145
1,60,5,22.5439,5.09189,19.59,122.212
1,60,5,36.8236,3.78378,33.47,126.135
1,60,5,8.3919,1.08108,6.12,122.499
1,60,5,24.2138,4.06486,22.39,124.84
1,60,5,26.1857,8.10811,24.78,122.196
1,60,5,9.3795,0.540541,7.18,123.23
1,60,5,17.2945,5.85946,15.46,135.551
1,70,5,32.9123,5.40541,29.8,119.028
1,70,5,10.2664,2.7027,7.01,135.697
1,70,5,20.4778,2.08649,15.44,121.48
1,70,5,26.9994,4.32432,24.27,119.65
1,70,5,1.7636,0,0,0
1,70,5,11.0219,1.08108,8.27,117.648
1,70,5,31.4799,7.9027,27.93,120.995
1,70,5,11.5527,0.540541,7.71,117.369
1,70,5,14.6951,1.62162,11.47,126.088
1,70,5,36.5813,4.32432,30.94,116.78
1,70,5,7.6518,1.08108,5.07,105.67
1,70,5,5.8759,0.540541,3.36,131.741
1,70,5,33.7747,5.94595,26.46,133.084
1,70,5,20.5709,4.32432,15.83,140.665
1,70,5,18.6526,2.7027,16.61,139.976
1,70,5,2.2658,0,0.09,0
1,70,5,11.2814,2.16216,8.24,124.066
1,70,5,17.1664,4.32432,14.48,149.198
1,70,5,20.5259,2.16216,16.63,116.942
1,70,5,18.1922,3.24324,14.17,142.816
1,75,5,21.693,2.7027,16.66,117.524
1,75,5,26.0878,4.32432,20.8,118.192
1,75,5,2.7946,0.540541,1.01,100.573
1,75,5,17.6065,2.16216,13.63,122.283
1,75,5,11.0086,3.24324,8.77,120.086
1,75,5,26.1463,3.24324,22.63,122.647
1,75,5,37.0298,4.23784,33.59,122.177
1,75,5,16.5723,4.32432,14.67,120.257
1,75,5,30.8866,5.40541,27.23,127.283
1,75,5,2.1055,0,0.12,0
1,75,5,12.2756,2.84324,8.96,119.571
1,75,5,26.9042,2.74595,24.27,122.016
1,75,5,42.6749,7.02703,34.52,120.413
1,75,5,45.9191,5.40541,37.96,132.409
1,75,5,39.9753,4.86486,36.64,121.239
1,75,5,17.6356,3.24324,14.29,137.204
1,75,5,2.2494,0,0,0
1,75,5,13.6962,2.7027,11.13,151.522
1,75,5,18.1312,4.32432,15.76,131.954
1,75,5,21.5393,2.7027,17.55,125.356
1,80,5,10.912,2.47568,11.41,146.488
1,80,5,23.7009,3.24324,19.17,121.059
1,80,5,9.1358,1.08108,6.08,116.735
1,80,5,10.5759,2.16216,8.64,119.872
1,80,5,2.5555,0,0,0
1,80,5,16.3359,1.62162,13.09,118.267
1,80,5,25.3589,3.97838,22.92,122.283
1,80,5,31.6046,4.86486,25.07,121.78
1,80,5,16.1527,0.540541,13.18,117.559
1,80,5,13.2123,2.7027,10.69,116.522
1,80,5,17.3733,2.7027,13.25,121.161
1,80,5,6.1996,1.62162,4.27,125.526
1,80,5,13.669,3.24324,10.91,174.722
1,80,5,4.3305,0.540541,2.18,142.255
1,80,5,34.9299,4.86486,29.08,126.299
1,80,5,12.9616,2.7027,9.31,149.905
1,80,5,12.8238,2.16216,10.09,126.101
1,80,5,23.4282,2.16216,16.74,117.829
1,80,5,2.323,0,0.04,0
1,80,5,20.5361,3.78378,18.17,124.436
1,90,5,22.551,3.78378,17.52,121.937
1,90,5,18.3656,3.78378,16.39,117.066
1,90,5,15.3231,1.08108,13.13,126.714
1,90,5,39.3981,5.94595,34.02,143.235
1,90,5,5.4144,0.540541,2.87,282.127
1,90,5,22.7119,1.89189,18.45,124.661
1,90,5,2.6089,0.540541,0.52,117.157
1,90,5,20.5707,3.78378,16.95,126.093
1,90,5,37.4871,5.94595,33.11,137.164
1,90,5,21.9523,1.62162,17.13,120.325
1,90,5,13.6487,1.08108,9.72,119.041
1,90,5,13.5204,2.16216,10.67,122.135
1,90,5,20.605,1.66486,16.62,124.275
1,90,5,14.8565,2.91892,12.55,116.782
1,90,5,23.4523,3.78378,18.84,123.347
1,90,5,11.9899,2.7027,8.93,124.746
1,90,5,19.3888,3.78378,18.73,126.685
1,90,5,18.9727,3.24324,15.21,117.183
1,90,5,20.7519,1.62162,18.14,129.826
1,90,5,18.0063,1.62162,13.98,116.88
1,100,5,28.9672,3.89189,24.16,123.489
1,100,5,23.0513,2.16216,18.31,145.735
1,100,5,3.7896,0.540541,1.2,118.255
1,100,5,9.4847,1.08108,6.68,129.801
1,100,5,27.5717,5.04865,23.92,127.583
1,100,5,33.5765,6.59459,32.57,141.201
1,100,5,7.1933,0.540541,4.26,113.361
1,100,5,23.4957,1.08108,19.09,120.475
1,100,5,16.716,2.7027,12.48,125.517
1,100,5,27.6142,5.94595,23.34,137.104
1,100,5,25.3847,1.62162,18.62,121.208
1,100,5,17.6784,1.62162,16.09,132.601
1,100,5,30.4068,3.24324,23.88,121.449
1,100,5,6.8364,1.08108,6.41,124.756
1,100,5,25.4191,3.78378,21.88,119.029
1,100,5,14.2282,1.62162,12.32,130.389
1,100,5,20.3867,3.78378,17.67,125.678
1,100,5,8.8485,1.62162,7.15,130.304
1,100,5,13.766,0.540541,11.73,145.222
1,100,5,5.7062,1.08108,2.73,116.307
1,10,10,3.8859,2.7027,2.79,147.971
1,10,10,2.1719,0,0.02,0
1,10,10,13.6212,6.77838,11.55,170.377
1,10,10,9.4249,3.24324,6.81,167.075
1,10,10,4.0444,0,2.18,0
1,10,10,12.9652,7.02703,11.52,168.777
1,10,10,16.9765,9.18919,16.68,176.426
1,10,10,20.9533,9.35135,20.68,128.679
1,10,10,21.3256,6.48649,16.63,180.718
1,10,10,19.5405,9.14595,16.92,152.158
1,10,10,13.4375,5.40541,13.24,136.125
1,10,10,4.3496,3.24324,2.77,218.742
1,10,10,13.0853,4.32432,11.21,136.523
1,10,10,15.092,8.10811,13.82,193.772
1,10,10,9.4773,5.40541,8.24,177.688
1,10,10,8.7205,2.48649,6.66,160.71
1,10,10,10.5319,3.24324,7.77,113.235
1,10,10,5.2183,2.7027,4.53,151.282
1,10,10,2.3613,0.540541,0.12,292.299
1,10,10,16.9786,7.56757,14.08,147.292
1,20,10,16.2786,5.40541,14.68,143.892
1,20,10,3.5315,1.08108,1.33,160.572
1,20,10,8.7769,3.78378,7.44,174.622
1,20,10,27.4045,5.2,23.88,136.728
1,20,10,2.0454,0,0.16,0
1,20,10,8.577,5.94595,8.7,140.271
1,20,10,11.4295,4.32432,8.87,119.883
1,20,10,3.5795,2.16216,2.13,214.584
1,20,10,5.215,3.78378,3.85,158.975
1,20,10,26.5842,8.84324,22.63,144.052
1,20,10,17.1361,3.24324,14.81,166.13
1,20,10,7.9458,2.7027,6.13,142.231
1,20,10,7.516,3.24324,6.17,150.384
1,20,10,14.8784,6.48649,12,179.211
1,20,10,4.5366,3.24324,2.64,233.638
1,20,10,20.5072,10.8108,20.31,146.558
1,20,10,17.928,7.2,14.09,167.106
1,20,10,10.1035,4.19459,7.67,150.317
1,20,10,26.3192,12.4324,23.05,155.399
1,20,10,8.2572,4.86486,6.78,142.837
1,30,10,23.3125,11.3514,20.78,139.364
1,30,10,13.9681,5.94595,12.12,164.012
1,30,10,4.2544,0.540541,2.92,127.925
1,30,10,14.1335,4.55135,11.34,145.057
1,30,10,10.7043,5.68649,7.56,205.569
1,30,10,9.1377,4.86486,7.01,142.878
1,30,10,19.4949,7.02703,19.75,127.011
1,30,10,2.8631,1.08108,1.35,123.734
1,30,10,21.1671,3.78378,16.19,122.879
1,30,10,15.6166,7.56757,13.22,132.104
1,30,10,13.0087,3.78378,10.29,148.27
1,30,10,23.2933,7.02703,19.92,117.571
1,30,10,24.0269,8.46486,19.57,173.729
1,30,10,37.6305,14.3135,32.74,133.736
1,30,10,13.5899,4.32432,12.57,143.668
1,30,10,4.1385,1.08108,1.92,141.409
1,30,10,11.3592,1.62162,8.64,122.088
1,30,10,11.6405,3.78378,9.78,122.105
1,30,10,1.7819,0,0.32,0
1,30,10,27.9485,8.07568,24.91,118.646
1,40,10,19.2838,7.56757,16.25,141.443
1,40,10,34.2737,10.3459,30.47,121.43
1,40,10,12.4706,4.86486,10.21,139.968
1,40,10,5.2766,2.7027,4.18,133.906
1,40,10,8.7396,4.32432,7.36,119.8
1,40,10,4.8252,1.62162,3.36,145.556
1,40,10,22.8252,8.64865,20.1,144.191
1,40,10,12.6901,3.24324,10.12,144.404
1,40,10,16.7358,3.24324,14.96,128.427
1,40,10,7.6827,2.7027,5.89,140.572
1,40,10,3.3853,0.540541,1.1,109.396
1,40,10,10.7104,1.62162,7.98,127.425
1,40,10,26.2044,10.8108,24.55,131
1,40,10,17.2694,2.7027,15.75,130.741
1,40,10,6.2755,2.16216,3.44,148.273
1,40,10,9.8382,3.68649,8.65,137.275
1,40,10,11.3515,3.32973,8.44,115.424
1,40,10,4.9809,0.378378,2.42,119.945
1,40,10,2.1897,0,0.11,0
1,40,10,15.1015,5.40541,11.95,130.157
1,50,10,13.0817,4.90811,11.7,147.218
1,50,10,4.7716,2.16216,2.56,196.393
1,50,10,21.8534,9.5027,20.13,126.422
1,50,10,10.5656,2.7027,7.79,160.938
1,50,10,5.1077,1.08108,3.46,131.84
1,50,10,5.7793,2.16216,4.43,115.274
1,50,10,33.7629,6.48649,28.74,126.065
1,50,10,13.4648,4.33514,12.18,149.261
1,50,10,12.2423,2.7027,11.02,147.21
1,50,10,2.9101,0.540541,0.96,116.227
1,50,10,10.1811,3.78378,8.08,171.563
1,50,10,6.5806,2.7027,5.39,131.336
1,50,10,5.4886,3.24324,4.25,144.797
1,50,10,25.8146,9.01622,24.26,133.429
1,50,10,7.0341,2.16216,5.24,148.315
1,50,10,28.9724,8.31351,25.5,141.801
1,50,10,4.8352,1.08108,3.22,135.074
1,50,10,13.3902,4.86486,11.36,129.524
1,50,10,22.8514,6.48649,23.15,120.072
1,50,10,19.6502,5.6,16.04,154.039
1,60,10,10.3882,2.16216,8.91,158.493
1,60,10,12.1123,1.85946,10.12,131.175
1,60,10,31.8831,10.2703,28.64,122.217
1,60,10,14.4675,4.32432,13.39,141.263
1,60,10,12.0677,3.41622,9.79,142.456
1,60,10,12.0859,4.32432,10.59,133.059
1,60,10,9.0536,4.86486,7.45,132.738
1,60,10,11.0819,5.40541,10.1,126.043
1,60,10,2.8229,1.08108,1.83,136.05
1,60,10,6.7036,1.62162,4.12,160.841
1,60,10,14.4003,5.94595,13.08,130.998
1,60,10,19.3464,6.48649,16.72,127.62
1,60,10,9.2569,3.24324,7.64,119.371
1,60,10,9.6481,4.32432,7.94,151.183
1,60,10,14.6963,3.24324,12.05,149.665
1,60,10,17.5586,5.83784,16.58,125.995
1,60,10,4.2684,0.540541,1.81,109.491
1,60,10,17.1975,2.16216,14.03,118.115
1,60,10,3.8574,0.540541,1.38,130.561
1,60,10,9.4928,3.23243,7.55,141.405
1,70,10,2.0404,0,0,0
1,70,10,14.8713,5.94595,12.17,130.683
1,70,10,14.2961,4.32432,11.89,151.18
