,Promoter,Threshold,Activation,Runs,S5PInt,S2PInt,Contact,DistActivation
123,1,20,1,,6.0725,2.7027027027027026,4.35,114.7693820764467
124,1,20,1,,2.1075,0.0,0.0,
125,1,20,1,,1.704,0.0,0.0,
126,1,20,1,,54.1825,0.0,39.45,
127,1,20,1,,1.122,0.0,0.0,
128,1,20,1,,1.9455,0.0,0.0,
129,1,20,1,,21.3335,0.0,14.4,
130,1,20,1,,45.9955,2.7027027027027026,47.6,146.7836099131177
131,1,20,1,,2.144,0.0,0.0,
132,1,20,1,,41.3565,2.7027027027027026,37.05,132.29853138293197
133,1,20,1,,1.5985,0.0,0.0,
134,1,20,1,,2.481,0.0,0.0,
135,1,20,1,,50.3395,0.0,38.1,
136,1,20,1,,39.2955,0.0,41.35,
137,1,20,1,,2.8805,0.0,0.0,
138,1,20,1,,2.566,0.0,0.0,
139,1,20,1,,30.5775,2.7027027027027026,24.7,111.32466038752548
140,1,20,1,,2.325,0.0,0.0,
141,1,20,1,,64.304,2.324324324324324,53.4,120.6538107761176
142,1,20,1,,8.788,2.7027027027027026,8.1,111.61281746298951
143,1,20,1,,1.6395,0.0,0.0,
144,1,20,1,,79.417,4.4324324324324325,63.7,117.06432491566162
145,1,20,1,,2.6945,0.0,0.2,
146,1,20,1,,2.505,0.0,0.0,
147,1,20,1,,1.9255,0.0,0.0,
148,1,20,1,,48.1935,0.0,39.45,
149,1,20,1,,1.922,0.0,0.05,
150,1,20,1,,2.4805,0.0,0.0,
151,1,20,1,,1.8505,0.0,0.0,
152,1,20,1,,1.3025,0.0,0.0,
153,1,20,1,,34.4775,10.81081081081081,29.8,156.77941750885668
154,1,20,1,,8.0235,0.0,4.6,
155,1,20,1,,1.869,0.0,0.0,
156,1,20,1,,91.0605,2.7027027027027026,71.8,131.1435082187227
157,1,20,1,,69.069,2.7027027027027026,54.5,113.89485819860067
158,1,20,1,,5.836,0.0,3.5,
159,1,20,1,,1.088,0.0,0.0,
160,1,20,1,,2.007,0.0,0.0,
